JOB 1:
5 14 
5 14 
5 14 
2 5 
5 14 
5 15 
5 16 
2 5 
5 14 
5 15 
5 16 
2 5 
6 17 
6 17 
6 17 
2 6 
6 17 
6 18 
6 19 
2 6 
6 17 
6 18 
6 19 
2 6 
7 20 
7 20 
7 20 
2 7 
7 20 
7 21 
7 22 
2 7 
7 20 
7 21 
7 22 
2 7 
1 2 
8 23 
8 23 
8 23 
3 8 
8 23 
8 24 
8 25 
3 8 
8 23 
8 24 
8 25 
3 8 
9 26 
9 26 
9 26 
3 9 
9 26 
9 27 
9 28 
3 9 
9 26 
9 27 
9 28 
3 9 
10 29 
10 29 
10 29 
3 10 
10 29 
10 30 
10 31 
3 10 
10 29 
10 30 
10 31 
3 10 
1 3 
11 32 
11 32 
11 32 
4 11 
11 32 
11 33 
11 34 
4 11 
11 32 
11 33 
11 34 
4 11 
12 35 
12 35 
12 35 
4 12 
12 35 
12 36 
12 37 
4 12 
12 35 
12 36 
12 37 
4 12 
13 38 
13 38 
13 38 
4 13 
13 38 
13 39 
13 40 
4 13 
13 38 
13 39 
13 40 
4 13 
1 4 
5 15 
5 15 
5 16 
2 5 
6 18 
6 18 
6 19 
2 6 
7 21 
7 21 
7 22 
2 7 
1 2 
8 24 
8 24 
8 25 
3 8 
9 27 
9 27 
9 28 
3 9 
10 30 
10 30 
10 31 
3 10 
1 3 
11 33 
11 33 
11 34 
4 11 
12 36 
12 36 
12 37 
4 12 
13 39 
13 39 
13 40 
4 13 
1 4 
1 

